Date,Festive Period,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
22/4/2019,C,Tuen Mun Ferry Terminal,Arrival,1546,12,43,1601
22/4/2019,C,Tuen Mun Ferry Terminal,Departure,787,20,49,856
30/4/2019,E,Airport,Arrival,35253,18469,25397,79119
30/4/2019,E,Airport,Departure,25858,23605,27297,76760
30/4/2019,E,Express Rail Link West Kowloon,Arrival,7720,23753,1677,33150
30/4/2019,E,Express Rail Link West Kowloon,Departure,5485,13655,1827,20967
30/4/2019,E,Hung Hom,Arrival,2317,2007,401,4725
30/4/2019,E,Hung Hom,Departure,1837,1469,1361,4667
30/4/2019,E,Lo Wu,Arrival,80230,31198,2264,113692
30/4/2019,E,Lo Wu,Departure,92340,28058,2163,122561
30/4/2019,E,Lok Ma Chau Spur Line,Arrival,47800,26062,853,74715
30/4/2019,E,Lok Ma Chau Spur Line,Departure,51565,20598,576,72739
30/4/2019,E,Hong Kong-Zhuhai-Macao Bridge,Arrival,11523,10152,3390,25065
30/4/2019,E,Hong Kong-Zhuhai-Macao Bridge,Departure,12047,13241,3406,28694
30/4/2019,E,Lok Ma Chau,Arrival,25022,12827,1755,39604
30/4/2019,E,Lok Ma Chau,Departure,25689,9158,974,35821
30/4/2019,E,Man Kam To,Arrival,3429,2289,61,5779
30/4/2019,E,Man Kam To,Departure,3815,1661,47,5523
30/4/2019,E,Sha Tau Kok,Arrival,2891,1366,177,4434
30/4/2019,E,Sha Tau Kok,Departure,2911,849,85,3845
30/4/2019,E,Shenzhen Bay,Arrival,31337,27070,2350,60757
30/4/2019,E,Shenzhen Bay,Departure,29728,20107,1764,51599
30/4/2019,E,China Ferry Terminal,Arrival,2630,2159,1831,6620
30/4/2019,E,China Ferry Terminal,Departure,2112,2172,1926,6210
30/4/2019,E,Harbour Control,Arrival,6,0,92,98
30/4/2019,E,Harbour Control,Departure,1,0,14,15
30/4/2019,E,Kai Tak Cruise Terminal,Arrival,658,292,45,995
30/4/2019,E,Kai Tak Cruise Terminal,Departure,868,195,41,1104
30/4/2019,E,Macau Ferry Terminal,Arrival,9674,1874,5052,16600
30/4/2019,E,Macau Ferry Terminal,Departure,9539,1979,4449,15967
30/4/2019,E,Tuen Mun Ferry Terminal,Arrival,675,19,27,721
30/4/2019,E,Tuen Mun Ferry Terminal,Departure,597,6,20,623
1/5/2019,E,Airport,Arrival,35782,20271,28085,84138
1/5/2019,E,Airport,Departure,31266,20266,27935,79467
1/5/2019,E,Express Rail Link West Kowloon,Arrival,6887,47187,1720,55794
1/5/2019,E,Express Rail Link West Kowloon,Departure,5201,21496,1604,28301
1/5/2019,E,Hung Hom,Arrival,1683,3407,491,5581
1/5/2019,E,Hung Hom,Departure,1367,1542,502,3411
1/5/2019,E,Lo Wu,Arrival,84407,59994,1923,146324
1/5/2019,E,Lo Wu,Departure,70630,53777,1884,126291
1/5/2019,E,Lok Ma Chau Spur Line,Arrival,44831,56860,979,102670
1/5/2019,E,Lok Ma Chau Spur Line,Departure,39410,41499,678,81587
